"Ticker","Date","Open","High","Low","Close","Volume","TWAP-Open","TWAP-High","TWAP-Low","TWAP-Close","SMA-50","SMA-200","LWMA-15","LWMA-50"
"FB","2016-02-10","101.55","103.25","100.24","101.0","45179370.0","58.8762","59.64682","58.04581","58.85069","103.2078","94.22837","105.26217","102.70387"
"FB","2016-02-09","97.14","102.4","96.82","99.54","62709018.0","58.83066","59.60029","58.00078","58.8057","103.2968","94.13292","105.57725","102.79395"
"FB","2016-02-08","100.41","102.68","97.46","99.75","71229746.0","58.78973","59.55456","57.95931","58.76218","103.4142","94.04287","106.03917","102.94587"
"FB","2016-02-05","109.51","109.58","103.18","104.07","76894741.0","58.74522","59.50844","57.91706","58.71835","103.534","93.95617","106.435","103.09427"
"FB","2016-02-04","111.8","111.94","109.25","110.49","38890199.0","58.69087","59.45483","57.8686","58.66979","103.5916","93.85897","106.24333","103.07551"
"FB","2016-02-03","115.27","115.3407","109.75","112.69","56919324.0","58.63394","59.39857","57.81353","58.61425","103.5282","93.72462","105.12375","102.80249"
"FB","2016-02-02","114.8","117.59","113.2","114.61","59778571.0","58.57317","59.33855","57.7578","58.55623","103.3996","93.57662","103.61817","102.43816"
"FB","2016-02-01","112.27","115.72","112.01","115.09","46132726.0","58.51278","59.27598","57.69825","58.49602","103.2628","93.40745","101.73008","101.99318"
"FB","2016-01-29","108.99","112.84","108.84","112.21","62739548.0","58.45498","59.21529","57.63985","58.43516","103.0636","93.24355","99.634","101.52155"
"FB","2016-01-28","107.2","110.34","104.81","109.11","107475327.0","58.40058","59.15757","57.58474","58.37728","102.9002","93.09602","97.77883","101.15646"
"FB","2016-01-27","97.79","97.85","94.23","94.45","58699359.0","58.34799","59.10241","57.53385","58.32261","102.797","92.96805","96.26","100.90889"
"FB","2016-01-26","97.76","97.88","95.66","97.34","26877080.0","58.30545","59.06061","57.49426","58.28364","103.0684","92.91085","96.64267","101.24687"
"FB","2016-01-25","98.72","99.48","96.93","97.01","32482015.0","58.26284","59.01869","57.45305","58.24146","103.3018","92.83435","96.70475","101.48067"
"FB","2016-01-22","96.41","98.07","95.49","97.94","30495387.0","58.2191","58.97495","57.41037","58.19955","103.5198","92.76015","96.87183","101.73595"
"FB","2016-01-21","94.91","95.99","92.62","94.16","30518939.0","58.17777","58.93264","57.36916","58.15654","103.6908","92.68182","96.99167","101.96147"
"FB","2016-01-20","92.83","95.0","89.37","94.35","59051429.0","58.13797","58.89249","57.33097","58.11753","103.9495","92.62262","97.69317","102.34538"
