Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,TWAP-Open,TWAP-High,TWAP-Low,TWAP-Close,SMA-50,SMA-200,LWMA-15,LWMA-50
2015-08-05,95.25,97.09,95.18,96.44,29629221,0,1,95.25,97.09,95.18,96.44,29629221,52.40535,53.10339,51.67794,52.38448,87.63930,80.72970,95.40108,90.76289
2015-08-04,93.79,94.73,93.33,94.06,20136036,0,1,93.79,94.73,93.33,94.06,20136036,52.35226,53.04888,51.62403,52.32989,87.29720,80.62725,95.22258,90.40435
2015-08-03,93.53,95.08,92.8,94.14,29343117,0,1,93.53,95.08,92.8,94.14,29343117,52.30085,52.99717,51.57229,52.27811,87.02680,80.52010,95.30508,90.12854
2015-07-31,94.95,96.33,93.95,94.01,46509045,0,1,94.95,96.33,93.95,94.01,46509045,52.24963,52.94489,51.52107,52.22611,86.75360,80.41545,95.34392,89.83888
2015-07-30,94.91,95.81,91.8,95.21,86211323,0,1,94.91,95.81,91.8,95.21,86211323,52.19652,52.89093,51.46830,52.17414,86.48440,80.31335,95.34850,89.54376
2015-07-29,96.32,97.28,94.74,96.99,64648320,0,1,96.32,97.28,94.74,96.99,64648320,52.14333,52.83748,51.41807,52.12055,86.19280,80.20225,95.12533,89.19014
2015-07-28,94.84,95.56,93.31,95.29,35235993,0,1,94.84,95.56,93.31,95.29,35235993,52.08825,52.78206,51.36406,52.06460,85.87060,80.08185,94.58517,88.75409
2015-07-27,96.58,96.61,93.8301,94.17,38585381,0,1,96.58,96.61,93.8301,94.17,38585381,52.03487,52.72866,51.31169,52.01063,85.57320,79.98495,94.19025,88.37304
2015-07-24,97.35,97.76,95.88,96.95,33444930,0,1,97.35,97.76,95.88,96.95,33444930,51.97919,52.67381,51.25854,51.95794,85.31720,79.90170,93.88017,88.02587
2015-07-23,96.96,97.45,94.81,95.44,29418833,0,1,96.96,97.45,94.81,95.44,29418833,51.92241,52.61738,51.20269,51.90162,84.94700,79.79840,93.14204,87.55516
2015-07-22,96.74,97.58,95.92,97.04,28299518,0,1,96.74,97.58,95.92,97.04,28299518,51.86597,52.56120,51.14805,51.84707,84.58740,79.70898,92.52158,87.12957
2015-07-21,98.95,99.24,97.1427,98.39,39453332,0,1,98.95,99.24,97.1427,98.39,39453332,51.80967,52.50471,51.09187,51.79036,84.20680,79.61098,91.60717,86.62631
2015-07-20,95.85,98.6,95.36,97.91,54860541,0,1,95.85,98.6,95.36,97.91,54860541,51.75044,52.44600,51.03402,51.73182,83.80920,79.50443,90.41908,86.05451
2015-07-17,92.55,95.39,92.54,94.97,54001635,0,1,92.55,95.39,92.54,94.97,54001635,51.69497,52.38794,50.97826,51.67373,83.41950,79.39763,89.20850,85.48625
2015-07-16,90.28,90.86,89.77,90.85,21804086,0,1,90.28,90.86,89.77,90.85,21804086,51.64352,52.33379,50.92592,51.61920,83.08210,79.31798,88.30717,85.02006
2015-07-15,90,90.99,89.42,89.76,30886601,0,1,90,90.99,89.42,89.76,30886601,51.59480,52.28520,50.87694,51.56973,82.81630,79.25873,87.90425,84.70502
2015-07-14,90.46,90.8,89.65,89.68,26627849,0,1,90.46,90.8,89.65,89.68,26627849,51.54630,52.23633,50.82827,51.52151,82.59730,79.20388,87.62192,84.42413
2015-07-13,88.66,90.22,88.42,90.1,29976670,0,1,88.66,90.22,88.42,90.1,29976670,51.49711,52.18758,50.77919,51.47327,82.38350,79.14158,87.30842,84.13799
2015-07-10,87.35,88.22,86.77,87.95,23245873,0,1,87.35,88.22,86.77,87.95,23245873,51.45007,52.13944,50.73154,51.42438,82.15690,79.08375,86.87917,83.82649
2015-07-09,86.73,87.6,85.6499,85.88,23307402,0,1,86.73,87.6,85.6499,85.88,23307402,51.40457,52.09371,50.68587,51.37808,82.00720,79.03545,86.67663,83.59344
2015-07-08,86.29,86.75,85.445,85.65,24399340,0,1,86.29,86.75,85.445,85.65,24399340,51.35974,52.04865,50.64150,51.33430,81.90320,78.99005,86.69875,83.43749
2015-07-07,87.8,87.85,85.231,87.22,33059921,0,1,87.8,87.85,85.231,87.22,33059921,51.31535,52.00456,50.59727,51.29070,81.82840,78.95135,86.71138,83.28762
2015-07-06,86.49,88.1846,86.39,87.55,24635915,0,1,86.49,88.1846,86.39,87.55,24635915,51.26894,51.95895,50.55321,51.24498,81.71460,78.90025,86.47350,83.07173
2015-07-02,87.4,87.44,86.3401,87.285,16908781,0,1,87.4,87.44,86.3401,87.285,16908781,51.22407,51.91280,50.50756,51.19874,81.61180,78.84465,86.14421,82.83885
2015-07-01,86.77,87.95,86.49,86.91,25260045,0,1,86.77,87.95,86.49,86.91,25260045,51.17793,51.86749,50.46185,51.15271,81.55870,78.78863,85.80258,82.61429
2015-06-30,86.6,86.7,85.57,85.765,23233183,0,1,86.6,86.7,85.57,85.765,23233183,51.13247,51.82141,50.41584,51.10704,81.49290,78.72698,85.46825,82.40186
2015-06-29,86.61,87.5,85.73,85.8,35957872,0,1,86.61,87.5,85.73,85.8,35957872,51.08711,51.77680,50.37089,51.06272,81.43940,78.68555,85.23458,82.23223
2015-06-26,88.12,88.34,86.8283,88.01,38214647,0,1,88.12,88.34,86.8283,88.01,38214647,51.04163,51.73106,50.32561,51.01824,81.33890,78.64615,84.95379,82.05728
2015-06-25,89.26,89.4,87.835,87.98,27301967,0,1,89.26,89.4,87.835,87.98,27301967,50.99409,51.68413,50.27881,50.97082,81.22490,78.59325,84.34783,81.79120
2015-06-24,87.66,89.25,87.45,88.86,41370227,0,1,87.66,89.25,87.45,88.86,41370227,50.94497,51.63571,50.23060,50.92331,81.11940,78.53670,83.69621,81.52216
2015-06-23,84.96,87.97,84.76,87.88,50667853,0,1,84.96,87.97,84.76,87.88,50667853,50.89778,51.58737,50.18276,50.87455,81.01250,78.48185,82.88108,81.21441
2015-06-22,83.41,84.97,83.31,84.74,29383079,0,1,83.41,84.97,83.31,84.74,29383079,50.85394,51.54054,50.13826,50.82692,80.91510,78.42875,82.12650,80.94128
2015-06-19,82.83,82.98,82.12,82.51,23353194,0,1,82.83,82.98,82.12,82.51,23353194,50.81199,51.49746,50.09552,50.78322,80.86110,78.38480,81.72733,80.78916
2015-06-18,81.64,83.19,81.57,82.905,26782573,0,1,81.64,83.19,81.57,82.905,26782573,50.77068,51.45684,50.05419,50.74228,80.85430,78.35140,81.57925,80.72424
2015-06-17,81.76,82.22,81.34,81.79,18350287,0,1,81.76,82.22,81.34,81.79,18350287,50.73079,51.41584,50.01348,50.70073,80.84170,78.32028,81.35879,80.64332
2015-06-16,80.82,81.51,80.45,81.06,13693666,0,1,80.82,81.51,80.45,81.06,13693666,50.69065,51.37599,49.97295,50.66051,80.85230,78.28543,81.26738,80.60655
2015-06-15,80.55,80.93,80.07,80.71,18805087,0,1,80.55,80.93,80.07,80.71,18805087,50.65162,51.33696,49.93347,50.62113,80.87990,78.24940,81.25283,80.59949
2015-06-12,81.37,82.09,81.2,81.53,11417882,0,1,81.37,82.09,81.2,81.53,11417882,50.61285,51.29857,49.89438,50.58211,80.89680,78.21900,81.28063,80.60681
